Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Strand	Chromosome/scaffold name
ENSMUSG00000108751	91678198	91679223	Gm45217	-1	6
ENSMUSG00000011034	33104219	33162870	Slc5a1	1	5
ENSMUSG00000027927	92134997	92142744	Lelp1	-1	3
ENSMUSG00000094700	22789859	22790782	Vmn1r158	-1	7
ENSMUSG00000070943	36937121	36938068	Olfr356	1	2
ENSMUSG00000114524	58184896	58191318	Gm48357	-1	13
ENSMUSG00000081888	129378271	129379396	Spcs2-ps	-1	2
ENSMUSG00000100654	22806354	22807313	Gm4207	-1	7
ENSMUSG00000095990	17121415	17146831	Zfp97	1	17
ENSMUSG00000081553	100567108	100568048	Ccdc50-ps	-1	4
ENSMUSG00000056508	110667688	110682619	1700001K19Rik	-1	12
ENSMUSG00000095931	22842688	22843605	Vmn1r159	-1	7
ENSMUSG00000105476	92170221	92177907	Gm35439	1	3
ENSMUSG00000108121	134624982	134625732	Gm43952	1	6
ENSMUSG00000019256	35497974	35535038	Ahr	-1	12
ENSMUSG00000096696	17064113	17089628	Zfp960	1	17
ENSMUSG00000084933	111246131	111256163	Gm13962	-1	2
ENSMUSG00000055838	36993827	37001847	Olfr357	1	2
ENSMUSG00000108922	22857425	22857574	Gm44825	-1	7
ENSMUSG00000021116	78861819	78887010	Eif2s1	1	12
ENSMUSG00000063844	111254516	111262026	Olfr1276	1	2
ENSMUSG00000094931	22871224	22872147	Vmn1r160	1	7
ENSMUSG00000116839	16163151	16166084	Gm49778	1	17
ENSMUSG00000116802	17234872	17266063	Gm5165	1	17
ENSMUSG00000043727	129458359	129536602	F830045P16Rik	-1	2
ENSMUSG00000060149	16951539	16974157	BC002059	1	17
ENSMUSG00000109514	22891265	22892085	Gm19900	1	7
ENSMUSG00000115620	38713483	38728516	Gm45924	-1	15
ENSMUSG00000102023	22893740	22899614	Gm8708	-1	7
ENSMUSG00000109072	22908588	22909026	Gm18469	1	7
ENSMUSG00000099624	93975353	93985816	Gm7889	1	1
ENSMUSG00000109345	22943629	22944170	Gm4574	1	7
ENSMUSG00000116757	16557246	16558043	Gm4786	1	17
ENSMUSG00000043801	17345456	17346140	Oaz1-ps	-1	17
ENSMUSG00000092297	22983714	22984673	Vmn1r258	-1	7
ENSMUSG00000048027	15803188	15831039	Rgmb	-1	17
ENSMUSG00000036977	79711820	79779059	Anapc10	1	8
ENSMUSG00000107533	102658807	102660896	Gm44422	-1	6
ENSMUSG00000028936	152325742	152334071	Rpl22	1	4
ENSMUSG00000094532	23019006	23019923	Vmn1r259	-1	7
ENSMUSG00000025931	20890606	20939650	Paqr8	1	1
ENSMUSG00000026004	66719248	66817562	Kansl1l	-1	1
ENSMUSG00000038648	37327255	37442146	Creb3l2	-1	6
ENSMUSG00000086637	129493570	129515807	Gm14040	-1	2
ENSMUSG00000087264	70489940	70563357	Gad1os	-1	2
ENSMUSG00000005251	97741933	97763787	Ripk4	-1	16
ENSMUSG00000104076	70523042	70523767	Gm37026	-1	2
ENSMUSG00000029348	112384354	112394866	Asphd2	-1	5
ENSMUSG00000086515	70503433	70509199	Erich2os	-1	2
ENSMUSG00000029310	104046306	104065379	Nudt9	1	5
ENSMUSG00000075302	70508819	70540884	Erich2	1	2
ENSMUSG00000110202	79747267	79752413	Gm45435	-1	8
ENSMUSG00000110044	79772878	79773170	Gm45434	-1	8
ENSMUSG00000072761	17294443	17319511	Gm6712	1	17
ENSMUSG00000075379	37002163	37009335	Olfr358	-1	2
ENSMUSG00000116621	16889355	16890410	Gm7483	1	17
ENSMUSG00000116934	15833168	15833477	Gm3292	-1	17
ENSMUSG00000116899	16163079	16163564	Gm49777	-1	17
ENSMUSG00000081737	37019271	37020196	Olfr359-ps1	-1	2
ENSMUSG00000110048	79803365	79803611	Gm45433	-1	8
ENSMUSG00000110188	79863664	79864079	Gm45432	-1	8
ENSMUSG00000082601	100581278	100581734	Gm12700	1	4
ENSMUSG00000117655	57497390	57512784	6720468P15Rik	1	19
ENSMUSG00000083208	95462546	95462721	Gm11522	-1	11
ENSMUSG00000057522	95414080	95493406	Spop	1	11
ENSMUSG00000108294	102937353	102937538	Gm44429	-1	6
ENSMUSG00000107445	103167801	103167953	Gm44449	1	6
ENSMUSG00000108296	103279550	103279986	Gm44295	-1	6
ENSMUSG00000100929	20945711	20946914	Gm28064	1	1
ENSMUSG00000091004	41668608	41669307	Gm6872	-1	7
ENSMUSG00000091401	41666517	41668118	Gm9252	-1	7
ENSMUSG00000092538	41722288	41722527	Vmn2r-ps55	1	7
ENSMUSG00000074164	41667979	41727193	Vmn2r-ps54	1	7
ENSMUSG00000093859	43916753	43918514	Gm7882	1	5
ENSMUSG00000005718	4544661	4559854	Tfap4	-1	16
ENSMUSG00000059565	43943903	43944482	Gm5292	-1	5
ENSMUSG00000082328	102174290	102174752	Gm13921	1	2
ENSMUSG00000085417	102039629	102066725	Gm13919	1	2
ENSMUSG00000105831	43948120	43948661	Gm43184	-1	5
ENSMUSG00000094934	23055540	23056463	Vmn1r163	1	7
ENSMUSG00000118547	92195436	92197048	AC138676.1	1	3
ENSMUSG00000011154	83774101	83794880	Cfap161	-1	7
ENSMUSG00000106573	43948116	43948662	Gm43183	1	5
ENSMUSG00000114228	25035059	25035328	Gm47605	1	13
ENSMUSG00000049761	30670722	30671605	Pmis2	-1	7
ENSMUSG00000096601	23066533	23067456	Vmn1r260	-1	7
ENSMUSG00000078664	92215799	92221911	Sprr2a1	1	3
ENSMUSG00000101160	84677587	84680826	Gm29338	1	Y
ENSMUSG00000094684	23098550	23099469	Gm16456	-1	7
ENSMUSG00000109098	23130546	23131334	Gm18062	1	7
ENSMUSG00000099840	84746685	84772902	Gm21409	1	Y
ENSMUSG00000109085	23142834	23143253	Gm18470	1	7
ENSMUSG00000081022	33126802	33127261	Gm15936	1	5
ENSMUSG00000095683	23131854	23144480	Gm10662	-1	7
ENSMUSG00000002812	60714123	60727263	Flii	-1	11
ENSMUSG00000092514	26255080	26255626	Vmn1r-ps86	1	7
ENSMUSG00000068893	92215920	92256724	Sprr2a2	1	3
ENSMUSG00000048373	43978858	43981779	Fgfbp1	-1	5
ENSMUSG00000085351	43588072	43608755	Gm12472	1	4
ENSMUSG00000029003	148130384	148145699	Mad2l2	1	4
ENSMUSG00000041278	43729512	43748008	Ttc1	-1	11
ENSMUSG00000038641	37530173	37568815	Akr1d1	1	6
ENSMUSG00000092193	41682658	41683307	Cd9-ps	-1	7
ENSMUSG00000106339	16572951	16573943	Gm43489	1	5
ENSMUSG00000103187	92242933	92246241	Gm37087	-1	3
ENSMUSG00000025630	52988137	53021659	Hprt	1	X
ENSMUSG00000103286	92227469	92228674	Gm5850	-1	3
ENSMUSG00000092221	7914737	7920811	Gm7230	-1	7
ENSMUSG00000019850	19000910	19015657	Tnfaip3	-1	10
ENSMUSG00000101045	56353334	56353948	Gm29224	-1	Y
ENSMUSG00000086124	45660770	45668498	A530076I17Rik	-1	14
ENSMUSG00000099920	56390152	56390846	Gm29223	-1	Y
ENSMUSG00000013083	30698926	30700536	2200002J24Rik	1	7
ENSMUSG00000056481	5068078	5070682	Cd248	1	19
ENSMUSG00000023165	8454345	8461726	Ssxb2	-1	X
ENSMUSG00000081174	37036024	37036432	Gm13439	1	2
ENSMUSG00000109909	104152706	104154337	Gm45663	1	8
ENSMUSG00000090968	7948362	7964378	Gm3978	-1	7
ENSMUSG00000074965	111264946	111274106	Olfr1277	-1	2
ENSMUSG00000040913	45578254	45660312	Fbxw4	-1	19
ENSMUSG00000038239	45335290	45338974	Hrc	1	7
ENSMUSG00000102405	53791201	53792657	Gm37863	1	1
ENSMUSG00000020530	84832361	84870817	Ggnbp2	-1	11
ENSMUSG00000106889	37541414	37541960	Gm7463	1	6
ENSMUSG00000101021	56396951	56400297	Gm29222	-1	Y
ENSMUSG00000109898	135853682	135855710	6330420H09Rik	1	7
ENSMUSG00000085085	129050097	129057983	1700086P04Rik	-1	4
ENSMUSG00000109535	23166873	23186354	Gm8728	1	7
ENSMUSG00000110078	135850708	135854448	Gm45241	-1	7
ENSMUSG00000099485	56420276	56429767	Gm29221	1	Y
ENSMUSG00000053604	70765720	70792232	Rpia	-1	6
ENSMUSG00000099548	56438870	56442111	Gm29220	1	Y
ENSMUSG00000022296	38933144	38952912	Baalc	1	15
ENSMUSG00000074128	104177795	104184599	Gm10631	-1	8
ENSMUSG00000092619	7975628	7978155	Gm20438	-1	7
ENSMUSG00000085438	119594297	119607502	Oip5os1	1	2
ENSMUSG00000110674	104217202	104218299	Gm45892	-1	8
ENSMUSG00000102374	66769290	66771866	Gm38387	-1	1
ENSMUSG00000101603	53051194	53053159	Gm28730	-1	X
ENSMUSG00000061937	87774567	87788797	Csn1s2a	1	5
ENSMUSG00000031872	104170442	104219122	Bean1	1	8
ENSMUSG00000082057	66783913	66786445	Gm15789	1	1
ENSMUSG00000041995	95323612	95337841	Zbed3	1	13
ENSMUSG00000061451	5070859	5085531	Tmem151a	-1	19
ENSMUSG00000103706	66793645	66796298	6820402A03Rik	-1	1
ENSMUSG00000037466	113156421	113166048	Tedc1	1	12
ENSMUSG00000102776	66775511	66780107	Gm38162	1	1
ENSMUSG00000114994	38933071	38938622	Gm49097	-1	15
ENSMUSG00000102559	66765626	66768731	Gm37570	-1	1
ENSMUSG00000046130	26260334	26270619	Vmn1r184	1	7
ENSMUSG00000103756	66799659	66800797	Gm37285	-1	1
ENSMUSG00000026005	66700831	66719805	Rpe	1	1
ENSMUSG00000026458	134296783	134332928	Ppfia4	-1	1
ENSMUSG00000073608	93990509	94017147	Gal3st2c	1	1
ENSMUSG00000113580	35546031	35548132	Gm48237	1	12
ENSMUSG00000091393	166306741	166309585	5330438I03Rik	-1	1
ENSMUSG00000113741	35534421	35590446	Gm48236	1	12
ENSMUSG00000100513	32388481	32388943	Rpl23a-ps11	1	7
ENSMUSG00000028469	43631935	43651244	Npr2	1	4
ENSMUSG00000117893	5072229	5075257	Gm46658	1	19
ENSMUSG00000040612	166254139	166316823	Ildr2	1	1
ENSMUSG00000092294	7982512	7986446	Gm18200	-1	7
ENSMUSG00000078757	32441541	32442722	Scgb1b29	1	7
ENSMUSG00000109450	83814707	83838345	Gm39043	1	7
ENSMUSG00000106035	104044619	104047397	Gm43545	-1	5
ENSMUSG00000083361	37065746	37069651	Olfr360	1	2
ENSMUSG00000056257	30974164	30976248	Gm5447	1	13
ENSMUSG00000109248	83800422	83834599	Gm44993	-1	7
ENSMUSG00000005054	78425669	78427622	Cstb	1	10
ENSMUSG00000028247	21879673	21912162	Coq3	1	4
ENSMUSG00000045521	17898637	17900024	Tssk2	1	16
ENSMUSG00000028310	49678747	49682024	Ppp3r2	-1	4
ENSMUSG00000045252	25072567	25083492	Zfp574	1	7
ENSMUSG00000101064	2678944	2689032	Gm18798	1	Y
ENSMUSG00000050822	142692512	142722490	Slc29a4	1	5
ENSMUSG00000030042	82618992	82705365	Pole4	-1	6
ENSMUSG00000068647	111290136	111298886	Olfr1278	1	2
ENSMUSG00000109163	83864590	83865481	3110009M11Rik	-1	7
ENSMUSG00000041189	69784036	69795943	Chrnb1	-1	11
ENSMUSG00000109552	83866777	83868776	Gm44531	1	7
ENSMUSG00000110055	4035245	4054757	Gm18857	1	13
ENSMUSG00000109452	83874362	83877920	Gm44530	1	7
ENSMUSG00000083153	49746731	49747246	Gm12459	-1	4
ENSMUSG00000070462	83879873	83884305	Tlnrd1	-1	7
ENSMUSG00000039579	49661611	49845744	Grin3a	-1	4
ENSMUSG00000033715	4049011	4090688	Akr1c14	1	13
ENSMUSG00000034000	94020451	94028334	Neu4	1	1
ENSMUSG00000020264	55158470	55185077	Slc36a2	-1	11
ENSMUSG00000104408	41011181	41011368	Gm38015	-1	6
ENSMUSG00000082014	31009177	31010362	Gm11371	1	13
ENSMUSG00000096932	38960619	38966605	5033403F01Rik	1	13
ENSMUSG00000056671	41875600	41951242	Prelid2	-1	18
ENSMUSG00000109499	109699525	109703608	Gm44864	1	7
ENSMUSG00000082120	146463326	146463607	Gm15720	-1	6
ENSMUSG00000028793	129058271	129085886	Rnf19b	1	4
ENSMUSG00000107743	146376417	146378186	Gm44087	1	6
ENSMUSG00000034780	67565871	68122689	B3galt1	1	2
ENSMUSG00000118494	6321445	6321736	AC183097.1	-1	17
ENSMUSG00000082545	50347628	50347889	Gm12196	1	11
ENSMUSG00000107801	146268632	146270980	Gm44086	-1	6
ENSMUSG00000094843	6324025	6324642	Ppp1r2-ps1	-1	17
ENSMUSG00000083054	136608840	136609806	Gm12986	-1	4
ENSMUSG00000050087	50354462	50359699	Cby3	1	11
ENSMUSG00000116812	6339604	6361848	Gm2792	-1	17
ENSMUSG00000082475	45704536	45713723	Gm7206	1	14
ENSMUSG00000082662	45713132	45713324	Gm15516	-1	14
ENSMUSG00000116992	6369017	6411531	Gm29719	-1	17
ENSMUSG00000087015	129565047	129566068	Gm14041	-1	2
ENSMUSG00000031839	119344488	119348922	Hsbp1	1	8
ENSMUSG00000116921	6354689	6355526	Gm49693	-1	17
ENSMUSG00000116719	6356813	6411834	Gm29719	-1	17
ENSMUSG00000079704	8514052	8524954	Gm14459	-1	X
ENSMUSG00000007646	87376645	87404954	Rad51c	-1	11
ENSMUSG00000096875	56502245	56526833	Gm21815	1	Y
ENSMUSG00000081299	67765977	67766059	Gm13603	1	2
ENSMUSG00000015488	27009926	27021089	Cacfd1	1	2
ENSMUSG00000097067	67677031	67687282	Gm26743	-1	2
ENSMUSG00000107452	26562279	26563076	Gm18215	-1	14
ENSMUSG00000108897	90042697	90043916	Gm44861	1	7
ENSMUSG00000110004	135892815	135894469	Gm45440	1	7
ENSMUSG00000109245	90030571	90032916	Gm44860	1	7
ENSMUSG00000081257	68081791	68082329	Gm13607	1	2
ENSMUSG00000107453	82680132	82694822	Gm44145	1	6
ENSMUSG00000099978	56725602	56726297	Gm29407	-1	Y
ENSMUSG00000110113	135907456	135907814	Gm45439	-1	7
ENSMUSG00000109813	111300635	111309043	Olfr1279	1	2
ENSMUSG00000096255	6430112	6436296	Dynlt1b	1	17
ENSMUSG00000104398	67898596	67903500	Gm37964	1	2
ENSMUSG00000109038	89964987	89965394	Gm45120	-1	7
ENSMUSG00000007338	6053622	6057785	Mrpl49	-1	19
ENSMUSG00000083910	67707290	67707771	Gm13604	-1	2
ENSMUSG00000098185	32473252	32474257	Gm9146	1	7
ENSMUSG00000097585	89980723	90049069	E230029C05Rik	1	7
ENSMUSG00000079702	8542608	8548255	Ssxb6	-1	X
ENSMUSG00000094736	8009397	8035143	Gm4073	-1	7
ENSMUSG00000108601	73422250	73423902	Gm44645	1	7
ENSMUSG00000107911	26565766	26566388	Gm7565	1	14
ENSMUSG00000085866	45754689	45993170	Gm15218	1	14
ENSMUSG00000101150	56803398	56804256	Gm29405	1	Y
ENSMUSG00000081840	45919087	45919465	Gm15220	-1	14
ENSMUSG00000084276	45858076	45858546	Gm8317	-1	14
ENSMUSG00000026285	94038305	94052553	Pdcd1	-1	1
ENSMUSG00000099595	56941294	56942627	Gm29406	-1	Y
ENSMUSG00000044674	4753839	4758035	Fzd1	-1	5
ENSMUSG00000115000	45944000	45991037	Gm49192	-1	14
ENSMUSG00000115382	45925934	45926197	Gm46475	1	14
ENSMUSG00000112652	78428271	78438847	4921516A02Rik	1	10
ENSMUSG00000059179	16729996	16731070	Gm8991	-1	5
ENSMUSG00000100779	116529215	116533077	Gm29292	-1	11
ENSMUSG00000095573	2720339	2720674	H2al2b	-1	Y
ENSMUSG00000100539	57016825	57017520	Gm20913	-1	Y
ENSMUSG00000041035	45560615	45579763	Gm17018	1	19
ENSMUSG00000032788	78436744	78464975	Pdxk	-1	10
ENSMUSG00000109903	16791810	16882052	Gm28710	1	5
ENSMUSG00000031023	109703690	109712189	Akip1	1	7
ENSMUSG00000086549	156052715	156059802	Gm13648	-1	4
ENSMUSG00000101114	2721836	2722099	Gm28628	-1	Y
ENSMUSG00000118266	41892994	41895313	Gm18371	-1	18
ENSMUSG00000083431	37074022	37082455	Gm13437	-1	2
ENSMUSG00000083921	4764834	4765665	Gm15750	1	5
ENSMUSG00000099854	16835914	16837658	Gm28710	1	5
ENSMUSG00000006463	4878668	4885397	Zdhhc24	1	19
ENSMUSG00000114161	31072730	31077845	Gm48662	-1	13
ENSMUSG00000100073	57033825	57035409	Gm29404	1	Y
ENSMUSG00000029074	156034840	156059414	Ttll10	-1	4
ENSMUSG00000118248	57529582	57529897	Gm50279	-1	19
ENSMUSG00000086361	73834561	73839908	Gm6569	1	15
ENSMUSG00000021098	72881109	72940774	4930447C04Rik	-1	12
ENSMUSG00000105560	4784753	4799094	Gm42744	-1	5
ENSMUSG00000100223	57046538	57047152	Gm29403	-1	Y
ENSMUSG00000118178	57522257	57533305	Gm32932	1	19
ENSMUSG00000102053	2785165	2796205	Gm4064	-1	Y
ENSMUSG00000019779	34483399	34611278	Frk	1	10
ENSMUSG00000007050	34981862	34985891	Lsm2	1	17
ENSMUSG00000105706	16981036	16981288	Gm42855	1	5
ENSMUSG00000115070	38990234	38992007	Gm4740	1	15
ENSMUSG00000083380	73809507	73809896	Ndufb4c	-1	15
ENSMUSG00000026012	60716800	60773359	Cd28	1	1
ENSMUSG00000100772	57083340	57084035	Gm28350	-1	Y
ENSMUSG00000075378	37083736	37089290	Olfr361	-1	2
ENSMUSG00000072487	73760067	73839699	Mroh5	-1	15
ENSMUSG00000113528	17944291	17946278	Gm32699	1	13
ENSMUSG00000071633	12599974	12628251	Gm4952	1	19
ENSMUSG00000113750	17949908	17950956	Gm5628	1	13
ENSMUSG00000099839	87142874	87146983	Gm29374	-1	1
ENSMUSG00000117770	57540466	57544223	Gm50285	-1	19
ENSMUSG00000117978	57584761	57584956	Gm50286	1	19
ENSMUSG00000019767	4482502	4562231	Ccdc170	1	10
ENSMUSG00000049411	11964450	12121537	Tmem241	-1	18
ENSMUSG00000030619	89954654	89980983	Eed	-1	7
ENSMUSG00000004567	3500457	3515232	Mcoln1	1	8
ENSMUSG00000031022	109712181	109723850	BC051019	-1	7
ENSMUSG00000100951	84833330	84834025	Gm29339	-1	Y
ENSMUSG00000113568	85255527	85255927	Gm46369	1	12
ENSMUSG00000020327	79755076	79758596	Fgf22	1	10
ENSMUSG00000021245	85234520	85270599	Mlh3	-1	12
ENSMUSG00000027750	54361109	54391037	Postn	1	3
ENSMUSG00000066068	32271845	32272162	Gm13611	1	2
ENSMUSG00000028294	34688559	34730206	Cfap206	-1	4
ENSMUSG00000103382	66812315	66814493	Gm37755	1	1
ENSMUSG00000021118	78888691	78906964	Plek2	-1	12
ENSMUSG00000100700	2806115	2806692	Gm6137	-1	Y
ENSMUSG00000112330	4569633	4570223	Gm3266	-1	10
ENSMUSG00000101066	2825380	2826353	Gm8498	1	Y
ENSMUSG00000054452	81559488	81566362	Tle5	1	10
ENSMUSG00000029005	148098437	148130698	Draxin	-1	4
ENSMUSG00000111983	11330137	11330415	Gm48666	-1	10
ENSMUSG00000110470	119378696	119386537	Gm45723	1	8
ENSMUSG00000035890	79758515	79766952	Rnf126	-1	10
ENSMUSG00000084980	55191719	55197864	Slc36a1os	-1	11
ENSMUSG00000024160	24886643	24892152	Spsb3	1	17
ENSMUSG00000112012	102431908	102432338	Gm47025	-1	10
ENSMUSG00000111931	101730775	101731561	Gm47032	1	10
ENSMUSG00000112342	102319613	102321894	Gm47031	1	10
ENSMUSG00000111990	102415883	102418014	Gm47033	1	10
ENSMUSG00000095852	2830699	2873492	Gm10256	1	Y
ENSMUSG00000060843	63430098	65003667	Ctnna3	1	10
ENSMUSG00000005951	73199460	73224511	Shpk	1	11
ENSMUSG00000019888	101681487	102391469	Mgat4c	1	10
ENSMUSG00000030346	126923050	126939587	Rad51ap1	-1	6
ENSMUSG00000114886	58218719	58219276	Gm48432	1	13
ENSMUSG00000109430	6805851	6806457	Gm44585	1	7
ENSMUSG00000109094	6900352	6902036	Gm44587	1	7
ENSMUSG00000108698	26292378	26292871	Gm44964	1	7
ENSMUSG00000031668	70844515	70905245	Eif2ak3	1	6
ENSMUSG00000109082	6891038	6893774	Gm44586	1	7
ENSMUSG00000109131	6742646	6743700	Gm44862	1	7
ENSMUSG00000109456	6809001	6811880	Gm44584	1	7
ENSMUSG00000108431	26304421	26307286	Gm42375	-1	7
ENSMUSG00000109176	6977246	6991087	Zfp264	1	7
ENSMUSG00000022780	31878810	31899020	Meltf	1	16
ENSMUSG00000074254	26307169	26315088	Cyp2a4	1	7
ENSMUSG00000021552	58233346	58275699	Gkap1	-1	13
ENSMUSG00000109416	6753043	6754464	Gm44863	1	7
ENSMUSG00000051527	6730578	6967219	Usp29	1	7
ENSMUSG00000042807	53806876	54195168	Hecw2	-1	1
ENSMUSG00000100145	2856974	2857874	Gm8502	1	Y
ENSMUSG00000049620	23833347	23836056	Prss33	-1	17
ENSMUSG00000094658	2830680	2841854	Rbmy	1	Y
ENSMUSG00000041809	20951626	20990841	Efhc1	1	1
ENSMUSG00000108599	79466409	79468535	Gm10616	1	7
ENSMUSG00000110638	104220612	104223609	Gm45887	1	8
ENSMUSG00000110551	104223747	104224100	Gm45750	1	8
ENSMUSG00000103831	79516882	79518761	Gm37608	1	7
ENSMUSG00000097023	79500026	79534403	Mir9-3hg	1	7
ENSMUSG00000104028	92262271	92263474	Gm5851	-1	3
ENSMUSG00000103385	92277725	92281033	Gm37752	-1	3
ENSMUSG00000074445	92285417	92291405	Sprr2a3	1	3
ENSMUSG00000062561	63924866	63927434	Gm10118	-1	10
ENSMUSG00000042846	63928472	64090277	Lrrtm3	-1	10
ENSMUSG00000050541	43774606	43901210	Adra1b	-1	11
ENSMUSG00000083248	104528734	104529095	Gm6574	-1	7
ENSMUSG00000036921	136610437	136613226	Tex46	1	4
ENSMUSG00000079701	8583404	8591816	Ssxb3	-1	X
ENSMUSG00000112165	111101578	111102871	Gm48851	-1	10
ENSMUSG00000103663	79512924	79513260	2900037B21Rik	1	7
ENSMUSG00000091086	111125851	111126721	Rpl6l	1	10
ENSMUSG00000102995	79510362	79511400	A330074H02Rik	1	7
ENSMUSG00000101311	27103779	27107127	Gm28250	1	Y
ENSMUSG00000111968	111156216	111157654	Gm8873	1	10
ENSMUSG00000064215	103434211	103440239	Ifi27	1	12
ENSMUSG00000108043	6955685	6977420	Zim3	-1	7
ENSMUSG00000081774	102209412	102210379	Gm13866	-1	2
ENSMUSG00000100803	27112987	27113681	Gm28251	1	Y
ENSMUSG00000096265	19729576	19753527	4930467E23Rik	1	8
ENSMUSG00000100873	27149813	27150427	Gm28243	1	Y
ENSMUSG00000101692	27161577	27163118	Gm28244	-1	Y
ENSMUSG00000114940	120099087	120100332	Gm21378	-1	13
ENSMUSG00000087172	43959089	44134987	Gm12153	1	11
ENSMUSG00000100464	27179288	27179983	Gm21771	1	Y
ENSMUSG00000073929	104532959	104535361	Trim30e-ps1	-1	7
ENSMUSG00000082727	11607433	11608696	Gm13260	-1	2
ENSMUSG00000024114	23836785	23844172	Prss41	-1	17
ENSMUSG00000027253	91457511	91513779	Lrp4	1	2
ENSMUSG00000099513	50696018	50696713	Gm29119	-1	Y
ENSMUSG00000014747	83762644	83768326	Ankrd53	1	6
ENSMUSG00000086738	44265563	44267209	Gm12154	-1	11
ENSMUSG00000084175	31199086	31199655	Gm11372	1	13
ENSMUSG00000090242	11386875	11387603	Rpl17-ps11	-1	10
ENSMUSG00000019796	7589800	7625483	Lrp11	1	10
ENSMUSG00000063447	107830099	107831776	Ube2d2b	1	5
ENSMUSG00000055493	11343404	11459644	Epm2a	1	10
ENSMUSG00000110669	19784746	19784856	Gm10060	1	8
ENSMUSG00000075232	40287458	40302188	Amd1	-1	10
ENSMUSG00000087460	31213410	31241086	4930401O12Rik	-1	13
ENSMUSG00000083169	46027428	46028784	Gm6580	1	14
ENSMUSG00000114798	120149379	120149708	Gm20769	1	13
ENSMUSG00000080897	8604420	8604532	Gm14500	1	X
ENSMUSG00000011831	107744795	107875107	Evi5	-1	5
ENSMUSG00000106878	126931688	126932581	Gm17808	1	6
ENSMUSG00000081410	8639622	8645273	Gm6797	1	X
ENSMUSG00000096323	120140246	120155335	Gm20767	1	13
ENSMUSG00000102763	46044460	46061149	Gm37257	-1	14
ENSMUSG00000022184	3965445	3979573	Fbxo4	-1	15
ENSMUSG00000110591	19903392	19925713	Gm31371	1	8
ENSMUSG00000103115	88526066	88527355	Gm37584	-1	3
ENSMUSG00000114929	58232143	58236750	Gm48441	1	13
ENSMUSG00000110060	46204549	46208201	Gm9860	1	7
ENSMUSG00000082496	8654465	8654824	Gm6798	1	X
ENSMUSG00000044285	46084028	46085000	Ubb-ps	1	14
ENSMUSG00000101068	84870410	84870724	Gm28759	-1	Y
ENSMUSG00000101405	84872139	84875484	Gm28758	-1	Y
ENSMUSG00000050092	92316620	92318085	Sprr2b	1	3
ENSMUSG00000004929	81070035	81082559	Thop1	1	10
ENSMUSG00000030838	46195350	46238503	Ush1c	-1	7
ENSMUSG00000105776	70883354	70885802	Gm43292	-1	6
ENSMUSG00000099354	83761756	83762865	1700124L16Rik	-1	6
ENSMUSG00000092451	41744706	41772910	Vmn2r-ps56	-1	7
ENSMUSG00000101552	50733012	50733326	Gm29118	-1	Y
ENSMUSG00000074480	88532395	88541396	Mex3a	1	3
ENSMUSG00000073574	41985323	41999049	Grxcr2	-1	18
ENSMUSG00000097169	7791455	7792057	Gm26661	1	14
ENSMUSG00000044155	18848579	18855751	Lsm8	1	6
ENSMUSG00000082458	8662302	8663828	Gm9430	-1	X
ENSMUSG00000090383	41835814	41872712	Vmn2r58	-1	7
ENSMUSG00000037683	19199302	19310241	Armc3	1	2
ENSMUSG00000103518	92320911	92321047	Gm37428	1	3
ENSMUSG00000084775	7749945	7775528	Gm16741	1	14
ENSMUSG00000103221	92326600	92326900	Sprr2c-ps	1	3
ENSMUSG00000113788	4091286	4092636	Gm47904	1	13
ENSMUSG00000072723	7744792	7791652	Gm10044	-1	14
ENSMUSG00000031591	41340197	41374773	Asah1	-1	8
ENSMUSG00000113517	4097498	4100831	Gm47905	1	13
ENSMUSG00000021099	72939892	72944899	Six6	1	12
ENSMUSG00000079703	8684887	8690844	Ssxb8	-1	X
ENSMUSG00000099405	2895798	2896626	Gm8506	1	Y
ENSMUSG00000110460	19942830	19943265	Gm20786	-1	8
ENSMUSG00000087662	31325934	31330767	Gm11373	-1	13
ENSMUSG00000028563	98355370	98383306	Tm2d1	-1	4
ENSMUSG00000106896	33720043	33723669	G630022F23Rik	-1	5
ENSMUSG00000039977	15559864	15627933	Deup1	-1	9
ENSMUSG00000037583	133553376	133556536	Nr0b2	1	4
ENSMUSG00000104105	41021243	41021884	Gm37878	-1	6
ENSMUSG00000036693	34638536	34660148	Nop14	-1	5
ENSMUSG00000113688	17951938	17954912	A930027P06Rik	1	13
ENSMUSG00000048992	23843855	23859779	Prss32	1	17
ENSMUSG00000113770	35184370	35212048	1700019C18Rik	-1	13
ENSMUSG00000110935	34898256	34898820	Gm8834	1	10
ENSMUSG00000042212	92339140	92340873	Sprr2d	1	3
ENSMUSG00000111042	34878624	35065312	Gm18252	1	10
ENSMUSG00000110649	20001099	20008736	Gm40466	1	8
ENSMUSG00000046157	78961795	79007627	Tmem229b	-1	12
ENSMUSG00000113906	35167146	35172309	4930529N20Rik	-1	13
ENSMUSG00000110589	20019133	20019411	Gm45754	-1	8
ENSMUSG00000053101	19749682	19824257	Gpr141	-1	13
ENSMUSG00000074365	15882617	15904020	Crxos	1	7
ENSMUSG00000111216	35142313	35142578	Gm47044	1	10
ENSMUSG00000100751	32495638	32496100	Gm5116	1	7
ENSMUSG00000103157	41026265	41026645	Gm38294	1	6
ENSMUSG00000100386	32507503	32509279	Scgb2b13-ps	-1	7
